"X".	"Y".	"Species".	"Diam"
"1307".	24.56.	53.82.	"PISY".	9.34
"1308".	26.65.	49.55.	"PISY".	9.74
"1309".	26.51.	53.66.	"PISY".	9.99
"1310".	26.19.	50.51.	"PISY".	12.34
"1311".	31.5.	53.51.	"PISY".	12.67
"1312".	28.1.	48.5.	"PISY".	12.86
"1313".	25.3.	48.2.	"PISY".	13.13
"1314".	25.21.	52.4.	"PISY".	13.74
"1315".	29.6.	52.31.	"PISY".	16.05
"1316".	26.64.	48.62.	"PISY".	16.88
"1317".	24.47.	55.14.	"PISY".	17
"1318".	29.68.	54.03.	"PISY".	17.22
"1319".	29.84.	59.14.	"PISY".	0.95
"1320".	27.68.	62.74.	"PISY".	7.53
"1321".	26.79.	56.57.	"PISY".	8.13
"1322".	31.48.	61.81.	"PISY".	8.37
"1323".	25.91.	60.48.	"PISY".	8.91
"1324".	27.77.	61.01.	"PISY".	9.44
"1325".	31.64.	63.82.	"PISY".	9.52
"1326".	27.33.	56.82.	"PISY".	10.91
"1327".	28.99.	63.62.	"PISY".	10.91
"1328".	24.94.	58.61.	"PISY".	12.65
"1329".	30.02.	59.22.	"PISY".	14.12
"1330".	31.65.	63.82.	"PISY".	14.94
"1331".	29.23.	61.16.	"PISY".	15.18
"1332".	26.4.	57.88.	"PISY".	15.52
"1333".	29.56.	63.89.	"PISY".	15.74
"1334".	24.74.	62.65.	"PISY".	16.55
"1335".	27.03.	58.67.	"PISY".	17.19
"1336".	27.17.	63.77.	"PISY".	17.26
"1337".	27.47.	58.07.	"PISY".	17.28
"1338".	25.63.	71.84.	"PISY".	10.35
"1339".	27.53.	67.63.	"PISY".	11.26
"1340".	30.66.	65.3.	"PISY".	11.42
"1341".	27.63.	67.36.	"PISY".	11.83
"1342".	24.34.	64.1.	"PISY".	12.41
"1343".	31.09.	71.97.	"PISY".	12.77
"1344".	27.46.	71.87.	"PISY".	13.39
"1345".	28.99.	64.67.	"PISY".	13.44
"1346".	27.06.	69.22.	"PISY".	13.99
"1347".	28.21.	69.24.	"PISY".	14.31
"1348".	24.37.	67.31.	"PISY".	16.55
"1349".	28.82.	67.7.	"PISY".	16.89
"1350".	30.1.	66.33.	"PISY".	17.44
"1351".	26.74.	75.6.	"PISY".	7.5
"1352".	26.87.	72.65.	"PISY".	7.52
"1353".	26.06.	78.12.	"PISY".	7.82
"1354".	29.1.	73.45.	"PISY".	8.98
"1355".	28.86.	73.54.	"PISY".	9.63
"1356".	29.38.	78.26.	"PISY".	11.58
"1357".	24.29.	79.18.	"PISY".	11.77
"1358".	25.08.	72.27.	"PISY".	12.09
"1359".	28.54.	74.81.	"PISY".	12.49
"1360".	29.67.	73.32.	"PISY".	12.55
"1361".	25.96.	78.78.	"PISY".	12.62
"1362".	24.71.	79.7.	"PISY".	12.87
"1363".	31.38.	74.66.	"PISY".	13.25
"1364".	30.58.	76.04.	"PISY".	13.34
"1365".	25.27.	72.69.	"PISY".	13.75
"1366".	30.46.	79.37.	"PISY".	13.78
"1367".	26.96.	78.83.	"PISY".	13.86
"1368".	28.53.	75.24.	"PISY".	15.01
"1369".	31.63.	79.12.	"PISY".	15.06
"1370".	30.14.	74.17.	"PISY".	15.54
"1371".	29.51.	79.97.	"PISY".	16.19
"1372".	30.41.	78.83.	"PISY".	17.04
"1599".	36.56.	3.24.	"PISY".	7.9
"1600".	38.64.	5.61.	"PISY".	8
"1601".	34.26.	5.07.	"PISY".	8.11
"1602".	32.15.	5.23.	"PISY".	8.33
"1603".	38.17.	1.06.	"PISY".	9.12
"1604".	38.6.	3.23.	"PISY".	9.28
"1605".	39.84.	2.16.	"PISY".	11.61
"1606".	36.53.	3.23.	"PISY".	11.75
"1607".	37.13.	4.19.	"PISY".	12
"1608".	36.39.	0.65.	"PISY".	12.24
"1609".	33.63.	3.99.	"PISY".	12.43
"1610".	34.31.	6.14.	"PISY".	12.69
"1611".	35.04.	2.25.	"PISY".	12.8
"1612".	36.94.	2.81.	"PISY".	13.09
"1613".	37.49.	7.23.	"PISY".	13.83
"1614".	32.66.	0.15.	"PISY".	14.58
"1615".	35.12.	2.55.	"PISY".	14.73
"1616".	36.65.	6.04.	"PISY".	15.66
"1617".	37.31.	6.53.	"PISY".	15.94
"1618".	39.87.	1.9.	"PISY".	16.22
"1619".	36.75.	7.3.	"PISY".	16.28
"1620".	39.69.	7.32.	"PISY".	16.47
"1621".	38.47.	7.69.	"PISY".	16.6
"1622".	35.	2.44.	"PISY".	17.5
"1623".	32.44.	12.15.	"PISY".	7.55
"1624".	33.57.	11.49.	"PISY".	9.05
"1625".	36.5.	15.56.	"PISY".	9.32
"1626".	32.56.	9.17.	"PISY".	9.49
"1627".	33.93.	9.73.	"PISY".	9.89
"1628".	37.24.	9.39.	"PISY".	10.84
"1629".	34.43.	10.59.	"PISY".	11.98
"1630".	33.3.	10.21.	"PISY".	12.15
"1631".	39.5.	13.81.	"PISY".	14.19
"1632".	38.33.	8.56.	"PISY".	15.64
"1633".	37.52.	9.85.	"PISY".	17.25
"1634".	36.16.	14.34.	"PISY".	17.42
"1635".	36.33.	11.35.	"PISY".	17.43
"1636".	38.24.	17.16.	"PISY".	8.09
"1637".	38.17.	23.78.	"PISY".	9.59
"1638".	38.86.	19.17.	"PISY".	10.56
"1639".	33.81.	22.68.	"PISY".	10.9
"1640".	33.42.	22.91.	"PISY".	11.03
"1641".	38.83.	19.36.	"PISY".	12.31
"1642".	37.49.	18.72.	"PISY".	12.58
"1643".	38.03.	20.26.	"PISY".	12.77
"1644".	32.08.	21.64.	"PISY".	13.27
"1645".	32.89.	23.26.	"PISY".	13.29
"1646".	38.63.	17.88.	"PISY".	13.57
"1647".	35.68.	21.7.	"PISY".	13.88
"1648".	38.41.	17.1.	"PISY".	14.1
"1649".	34.57.	17.63.	"PISY".	15.04
"1650".	37.61.	23.21.	"PISY".	15.88
"1651".	36.96.	20.01.	"PISY".	15.96
"1652".	32.61.	21.11.	"PISY".	16.55
"1653".	39.88.	22.24.	"PISY".	16.83
"1654".	37.66.	21.	"PISY".	17.05
"1655".	39.95.	21.59.	"PISY".	17.32
"1656".	35.21.	24.92.	"PISY".	8.32
"1657".	38.21.	29.3.	"PISY".	9.49
"1658".	39.	28.9.	"PISY".	9.86
"1659".	36.48.	31.84.	"PISY".	10.34
"1660".	37.37.	29.71.	"PISY".	11.68
"1661".	33.08.	27.85.	"PISY".	11.83
"1662".	32.63.	26.31.	"PISY".	11.87
"1663".	37.36.	31.4.	"PISY".	12.13
"1664".	35.2.	27.71.	"PISY".	12.93
"1665".	32.38.	31.47.	"PISY".	13.7
"1666".	38.99.	28.96.	"PISY".	13.79
"1667".	37.19.	27.65.	"PISY".	13.85
"1668".	39.86.	28.54.	"PISY".	13.98
"1669".	38.36.	31.08.	"PISY".	14.53
"1670".	36.72.	28.12.	"PISY".	15.27
"1671".	39.91.	31.87.	"PISY".	16.35
"1672".	37.96.	30.47.	"PISY".	17.18
"1673".	32.4.	33.73.	"PISY".	7.77
"1674".	32.16.	34.53.	"PISY".	7.83
"1675".	39.38.	39.42.	"PISY".	8.45
"1676".	38.49.	35.65.	"PISY".	8.69
"1677".	32.56.	32.7.	"PISY".	8.77
"1678".	32.06.	34.95.	"PISY".	8.85
"1679".	38.62.	36.58.	"PISY".	9.25
"1680".	35.97.	32.3.	"PISY".	9.62
"1681".	36.23.	32.75.	"PISY".	10.1
"1682".	39.02.	37.32.	"PISY".	10.35
"1683".	39.39.	32.78.	"PISY".	10.78
"1684".	32.67.	32.54.	"PISY".	11.23
"1685".	33.53.	32.71.	"PISY".	12.17
"1686".	36.63.	37.21.	"PISY".	13.2
"1687".	33.05.	39.1.	"PISY".	14.38
"1688".	37.12.	35.17.	"PISY".	15.49
"1689".	33.68.	39.36.	"PISY".	16.9
"1690".	36.96.	32.54.	"PISY".	17.36
"1691".	39.26.	43.06.	"PISY".	8.71
"1692".	32.16.	44.86.	"PISY".	8.99
"1693".	39.69.	44.49.	"PISY".	9.21
"1694".	36.65.	47.97.	"PISY".	9.49
"1695".	38.95.	47.69.	"PISY".	9.76
"1696".	34.44.	45.96.	"PISY".	9.78
"1697".	39.75.	42.84.	"PISY".	10.38
"1698".	32.61.	41.83.	"PISY".	10.71
"1699".	39.29.	42.7.	"PISY".	10.94
"1700".	32.4.	41.26.	"PISY".	11.47
"1701".	35.48.	47.98.	"PISY".	11.83
"1702".	32.71.	45.17.	"PISY".	12.57
"1703".	34.84.	44.27.	"PISY".	12.78
"1704".	35.36.	47.44.	"PISY".	13.33
"1705".	32.75.	45.12.	"PISY".	13.42
"1706".	33.56.	41.62.	"PISY".	13.72
"1707".	33.85.	43.8.	"PISY".	13.96
"1708".	38.17.	45.26.	"PISY".	13.98
"1709".	37.34.	40.83.	"PISY".	14.81
"1710".	36.	43.88.	"PISY".	15.2
"1711".	32.85.	41.9.	"PISY".	17.1
"1712".	34.32.	43.97.	"PISY".	17.14
"1713".	36.83.	48.1.	"PISY".	8.08
"1714".	35.35.	51.22.	"PISY".	8.53
"1715".	35.08.	54.25.	"PISY".	8.95
"1716".	36.12.	55.86.	"PISY".	9.22
"1717".	33.97.	50.25.	"PISY".	9.27
"1718".	37.27.	50.49.	"PISY".	9.98
"1719".	33.13.	49.65.	"PISY".	11.66
"1720".	32.98.	54.26.	"PISY".	11.76
"1721".	38.89.	55.5.	"PISY".	12.44
"1722".	34.63.	50.81.	"PISY".	13.54
"1723".	35.29.	49.24.	"PISY".	14.77
"1724".	37.1.	50.3.	"PISY".	14.85
"1725".	37.48.	50.45.	"PISY".	15.59
"1726".	34.91.	51.33.	"PISY".	16.07
"1727".	35.76.	62.21.	"PISY".	7.72
"1728".	36.04.	57.12.	"PISY".	8.95
"1729".	35.42.	62.61.	"PISY".	9.09
"1730".	32.65.	63.39.	"PISY".	9.26
"1731".	34.64.	61.23.	"PISY".	9.73
"1732".	34.48.	62.88.	"PISY".	10.78
"1733".	36.58.	60.6.	"PISY".	10.87
"1734".	39.78.	56.57.	"PISY".	12.02
"1735".	39.82.	58.4.	"PISY".	12.17
"1736".	34.13.	63.07.	"PISY".	12.81
"1737".	38.92.	62.39.	"PISY".	13.04
"1738".	36.18.	59.97.	"PISY".	13.78
"1739".	32.21.	58.53.	"PISY".	14.11
"1740".	36.48.	63.06.	"PISY".	15.64
"1741".	33.45.	69.81.	"PISY".	8.78
"1742".	33.53.	69.28.	"PISY".	9.98
"1743".	35.75.	69.3.	"PISY".	10.37
"1744".	33.6.	66.88.	"PISY".	10.38
"1745".	37.59.	67.65.	"PISY".	10.61
"1746".	32.85.	66.85.	"PISY".	10.91
"1747".	38.71.	71.48.	"PISY".	12.19
"1748".	36.28.	65.5.	"PISY".	12.3
"1749".	35.63.	69.	"PISY".	12.33
"1750".	33.4.	66.16.	"PISY".	13.48
"1751".	35.13.	67.27.	"PISY".	14.14
"1752".	32.02.	66.69.	"PISY".	14.66
"1753".	37.34.	65.85.	"PISY".	15.42
"1754".	36.98.	69.5.	"PISY".	17.47
"1755".	35.94.	77.	"PISY".	7.98
"1756".	39.85.	72.28.	"PISY".	8.22
"1757".	34.92.	79.17.	"PISY".	8.55
"1758".	37.65.	76.52.	"PISY".	9.27
"1759".	39.83.	78.44.	"PISY".	10.89
"1760".	36.63.	77.12.	"PISY".	11.1
"1761".	33.93.	72.33.	"PISY".	11.19
"1762".	37.32.	79.58.	"PISY".	12
"1763".	38.55.	75.39.	"PISY".	12.4
"1764".	32.25.	79.76.	"PISY".	13.25
"1765".	37.69.	74.43.	"PISY".	14.33
"1766".	36.25.	76.16.	"PISY".	15.22
"1767".	35.2.	79.28.	"PISY".	15.65
"1768".	35.42.	79.1.	"PISY".	15.97
"1769".	34.03.	79.5.	"PISY".	16.16
"1770".	34.91.	77.74.	"PISY".	16.31
"1771".	37.25.	74.59.	"PISY".	16.69
"2056".	44.73.	0.64.	"PISY".	4.65
"2057".	45.9.	4.49.	"PISY".	7.5
"2058".	40.5.	6.26.	"PISY".	7.67
"2059".	41.39.	0.67.	"PISY".	7.98
"2060".	45.53.	3.58.	"PISY".	8.25
"2061".	41.93.	1.05.	"PISY".	8.34
"2062".	47.64.	0.94.	"PISY".	9.23
"2063".	46.08.	6.46.	"PISY".	9.48
"2064".	40.07.	7.45.	"PISY".	9.6
"2065".	42.67.	0.17.	"PISY".	9.89
"2066".	43.89.	6.65.	"PISY".	10.33
"2067".	44.49.	5.79.	"PISY".	10.37
"2068".	43.26.	4.69.	"PISY".	10.63
"2069".	40.01.	3.43.	"PISY".	10.83
"2070".	43.66.	4.86.	"PISY".	10.98
"2071".	42.24.	6.84.	"PISY".	11.2
"2072".	40.65.	6.28.	"PISY".	11.21
"2073".	42.67.	6.18.	"PISY".	13.79
"2074".	47.96.	4.64.	"PISY".	13.81
"2075".	47.82.	2.47.	"PISY".	14.48
"2076".	42.58.	3.16.	"PISY".	14.49
"2077".	41.05.	6.64.	"PISY".	16.14
"2078".	42.3.	2.74.	"PISY".	16.32
"2079".	43.21.	6.92.	"PISY".	16.83
"2080".	40.14.	11.74.	"PISY".	7.55
"2081".	41.01.	12.06.	"PISY".	8.14
"2082".	46.68.	8.26.	"PISY".	8.23
"2083".	42.15.	13.3.	"PISY".	9.08
"2084".	47.82.	15.01.	"PISY".	9.33
"2085".	41.01.	10.14.	"PISY".	9.67
"2086".	46.78.	10.1.	"PISY".	10.77
"2087".	41.69.	8.89.	"PISY".	11.52
"2088".	44.13.	13.68.	"PISY".	11.57
"2089".	44.67.	14.84.	"PISY".	11.89
"2090".	43.04.	14.77.	"PISY".	12.06
"2091".	41.23.	12.45.	"PISY".	12.39
"2092".	47.16.	15.41.	"PISY".	12.61
"2093".	47.15.	9.67.	"PISY".	13.06
"2094".	42.87.	12.52.	"PISY".	13.94
"2095".	44.36.	15.3.	"PISY".	14.4
"2096".	43.18.	14.82.	"PISY".	14.98
"2097".	47.55.	8.62.	"PISY".	15.08
"2098".	45.24.	10.06.	"PISY".	16.24
"2099".	43.7.	13.08.	"PISY".	16.71
"2100".	41.76.	8.34.	"PISY".	16.78
"2101".	43.42.	21.95.	"PISY".	7.77
"2102".	45.79.	22.92.	"PISY".	7.9
"2103".	42.91.	17.84.	"PISY".	8.68
"2104".	45.74.	20.38.	"PISY".	8.7
"2105".	42.61.	18.27.	"PISY".	9.82
"2106".	43.39.	18.76.	"PISY".	10.49
"2107".	45.75.	20.56.	"PISY".	11.14
"2108".	40.22.	21.04.	"PISY".	11.26
"2109".	40.97.	16.73.	"PISY".	12.01
"2110".	47.81.	18.89.	"PISY".	12.07
"2111".	47.98.	16.06.	"PISY".	12.79
"2112".	41.61.	22.02.	"PISY".	13.87
"2113".	45.98.	19.55.	"PISY".	14.02
"2114".	41.49.	22.08.	"PISY".	15.27
"2115".	45.63.	20.51.	"PISY".	15.37
"2116".	42.17.	23.48.	"PISY".	16.31
"2117".	47.74.	16.53.	"PISY".	16.92
"2118".	46.75.	16.	"PISY".	17.22
"2119".	44.75.	26.17.	"PISY".	3.28
"2120".	45.55.	30.29.	"PISY".	8.78
"2121".	42.88.	26.58.	"PISY".	8.91
"2122".	47.33.	28.93.	"PISY".	9.75
"2123".	42.66.	25.61.	"PISY".	9.98
"2124".	41.31.	26.73.	"PISY".	10.08
"2125".	42.88.	25.69.	"PISY".	10.99
"2126".	45.4.	29.74.	"PISY".	11.58
"2127".	43.93.	30.98.	"PISY".	12
"2128".	42.93.	30.8.	"PISY".	12.17
"2129".	42.85.	26.82.	"PISY".	12.29
"2130".	47.75.	27.24.	"PISY".	12.66
"2131".	44.47.	27.63.	"PISY".	14.49
"2132".	41.12.	24.08.	"PISY".	14.55
"2133".	45.61.	30.21.	"PISY".	14.77
"2134".	47.93.	25.92.	"PISY".	15.18
"2135".	42.75.	27.6.	"PISY".	15.33
"2136".	45.31.	27.27.	"PISY".	16.82
"2137".	45.22.	29.65.	"PISY".	20.97
"2138".	44.56.	39.13.	"PISY".	8.75
"2139".	42.44.	35.19.	"PISY".	9.04
"2140".	44.8.	36.37.	"PISY".	11.74
"2141".	44.16.	34.46.	"PISY".	12.45
"2142".	45.46.	32.17.	"PISY".	12.73
"2143".	40.53.	37.69.	"PISY".	12.98
"2144".	47.71.	33.96.	"PISY".	13.56
"2145".	40.92.	33.17.	"PISY".	13.74
"2146".	45.39.	39.33.	"PISY".	14.73
"2147".	45.77.	33.32.	"PISY".	15.02
"2148".	47.02.	35.52.	"PISY".	15.02
"2149".	45.86.	47.35.	"PISY".	7.78
"2150".	41.01.	40.85.	"PISY".	8.46
"2151".	45.38.	47.26.	"PISY".	8.77
"2152".	45.84.	42.12.	"PISY".	9.85
"2153".	44.95.	44.67.	"PISY".	9.87
"2154".	47.34.	44.46.	"PISY".	10.29
"2155".	42.94.	45.88.	"PISY".	10.56
"2156".	42.38.	43.88.	"PISY".	11.98
"2157".	40.75.	40.15.	"PISY".	12.19
"2158".	46.58.	44.66.	"PISY".	12.51
"2159".	46.27.	40.55.	"PISY".	12.77
"2160".	44.24.	41.18.	"PISY".	12.97
"2161".	47.32.	43.14.	"PISY".	13.22
"2162".	47.13.	47.75.	"PISY".	13.99
"2163".	47.85.	42.49.	"PISY".	15.9
"2164".	41.72.	46.89.	"PISY".	16.71
"2165".	47.38.	41.3.	"PISY".	17.23
"2166".	44.84.	55.03.	"PISY".	8.07
"2167".	41.41.	55.54.	"PISY".	8.29
"2168".	41.78.	48.51.	"PISY".	9.36
"2169".	46.13.	51.14.	"PISY".	10.25
"2170".	45.94.	48.64.	"PISY".	10.45
"2171".	44.53.	48.91.	"PISY".	12.73
"2172".	44.86.	55.41.	"PISY".	14.25
"2173".	44.59.	52.94.	"PISY".	16.2
"2174".	41.35.	53.3.	"PISY".	16.21
"2175".	46.91.	52.44.	"PISY".	16.6
"2176".	45.76.	53.78.	"PISY".	16.73
"2177".	43.95.	49.26.	"PISY".	16.86
"2178".	44.36.	56.85.	"PISY".	7.55
"2179".	46.14.	64.	"PISY".	7.97
"2180".	43.14.	60.05.	"PISY".	8.19
"2181".	42.67.	58.3.	"PISY".	9.01
"2182".	40.96.	63.5.	"PISY".	9.6
"2183".	40.18.	60.36.	"PISY".	9.9
"2184".	40.57.	56.4.	"PISY".	10.19
"2185".	47.29.	60.39.	"PISY".	11.59
"2186".	46.24.	60.29.	"PISY".	13.16
"2187".	47.27.	63.2.	"PISY".	13.85
"2188".	46.64.	62.29.	"PISY".	14.16
"2189".	40.81.	63.75.	"PISY".	16.52
"2190".	44.4.	58.33.	"PISY".	16.92
"2191".	40.82.	60.63.	"PISY".	17.21
"2192".	40.08.	62.84.	"PISY".	17.48
"2193".	43.45.	59.5.	"PISY".	17.5
"2194".	47.45.	70.71.	"PISY".	7.66
"2195".	47.43.	66.65.	"PISY".	8.59
"2196".	41.13.	71.15.	"PISY".	9.38
"2197".	46.31.	70.2.	"PISY".	9.41
"2198".	47.02.	64.69.	"PISY".	11.13
"2199".	40.92.	67.12.	"PISY".	11.18
"2200".	41.6.	71.98.	"PISY".	11.57
"2201".	40.04.	64.38.	"PISY".	11.69
"2202".	42.42.	65.23.	"PISY".	11.79
"2203".	47.79.	65.76.	"PISY".	12.16
"2204".	43.44.	64.18.	"PISY".	12.33
"2205".	42.64.	64.68.	"PISY".	12.46
"2206".	45.71.	67.4.	"PISY".	12.86
"2207".	40.29.	69.57.	"PISY".	13.34
"2208".	40.58.	71.91.	"PISY".	14.42
"2209".	41.4.	67.63.	"PISY".	14.7
"2210".	44.77.	67.14.	"PISY".	15.35
"2211".	40.53.	67.71.	"PISY".	15.64
"2212".	42.46.	67.37.	"PISY".	16.38
"2213".	40.09.	69.03.	"PISY".	16.51
"2214".	41.29.	79.27.	"PISY".	7.52
"2215".	41.6.	79.53.	"PISY".	7.83
"2216".	48.	74.67.	"PISY".	7.84
"2217".	45.77.	76.14.	"PISY".	8.22
"2218".	42.6.	76.08.	"PISY".	9.51
"2219".	47.79.	77.95.	"PISY".	11.32
"2220".	46.17.	77.82.	"PISY".	11.68
"2221".	44.95.	78.32.	"PISY".	12.2
"2222".	41.25.	77.69.	"PISY".	12.47
"2223".	45.66.	73.26.	"PISY".	13.22
"2224".	44.88.	75.17.	"PISY".	13.27
"2225".	46.98.	74.	"PISY".	13.48
"2226".	42.22.	75.17.	"PISY".	13.54
"2227".	40.1.	78.82.	"PISY".	13.66
"2228".	43.82.	75.46.	"PISY".	13.79
"2229".	45.91.	76.71.	"PISY".	14.34
"2230".	44.65.	72.44.	"PISY".	15.67
"2231".	42.09.	72.65.	"PISY".	16.83
"2460".	48.02.	1.21.	"PISY".	7.75
"2461".	52.11.	2.86.	"PISY".	8.3
"2462".	55.66.	1.22.	"PISY".	8.53
"2463".	52.8.	7.46.	"PISY".	9.34
"2464".	48.17.	6.6.	"PISY".	10.09
"2465".	54.01.	4.17.	"PISY".	10.15
"2466".	51.69.	0.78.	"PISY".	10.61
"2467".	54.32.	4.3.	"PISY".	10.81
"2468".	49.77.	7.73.	"PISY".	12.32
"2469".	50.27.	7.9.	"PISY".	12.72
"2470".	49.87.	4.59.	"PISY".	13.33
"2471".	54.39.	7.35.	"PISY".	13.79
"2472".	51.39.	1.6.	"PISY".	14.66
"2473".	53.17.	5.42.	"PISY".	14.99
"2474".	51.22.	10.65.	"PISY".	8.48
"2475".	51.77.	14.79.	"PISY".	9.16
"2476".	50.09.	10.33.	"PISY".	9.48
"2477".	48.37.	13.48.	"PISY".	9.52
"2478".	49.8.	9.02.	"PISY".	10.14
"2479".	55.59.	13.72.	"PISY".	10.28
"2480".	48.94.	15.05.	"PISY".	11.09
"2481".	51.74.	14.25.	"PISY".	11.21
"2482".	55.57.	9.7.	"PISY".	12.66
"2483".	54.04.	10.37.	"PISY".	13.1
"2484".	48.82.	10.08.	"PISY".	13.33
"2485".	51.19.	10.9.	"PISY".	13.35
"2486".	52.16.	14.97.	"PISY".	16.37
"2487".	53.76.	10.58.	"PISY".	17.1
"2488".	54.07.	10.44.	"PISY".	17.35
"2489".	49.02.	22.47.	"PISY".	8.6
"2490".	55.32.	17.87.	"PISY".	8.69
"2491".	55.12.	21.11.	"PISY".	10.03
"2492".	52.56.	19.12.	"PISY".	11.84
"2493".	52.84.	22.16.	"PISY".	11.85
"2494".	51.33.	17.45.	"PISY".	12.4
"2495".	53.51.	19.92.	"PISY".	13.44
"2496".	53.28.	20.6.	"PISY".	13.58
"2497".	55.19.	23.26.	"PISY".	14.22
"2498".	54.25.	22.73.	"PISY".	14.58
"2499".	51.78.	19.59.	"PISY".	14.64
"2500".	51.63.	19.15.	"PISY".	14.85
"2501".	50.98.	20.61.	"PISY".	15.78
"2502".	53.35.	16.06.	"PISY".	16.58
"2503".	54.9.	18.46.	"PISY".	17.28
"2504".	53.8.	24.47.	"PISY".	7.69
"2505".	48.15.	25.76.	"PISY".	7.88
"2506".	53.52.	24.28.	"PISY".	8.37
"2507".	49.7.	29.89.	"PISY".	10.42
"2508".	48.95.	29.38.	"PISY".	10.92
"2509".	55.63.	26.6.	"PISY".	11.67
"2510".	52.24.	28.58.	"PISY".	12.01
"2511".	48.2.	27.26.	"PISY".	13.58
"2512".	51.86.	28.51.	"PISY".	13.68
"2513".	54.14.	29.43.	"PISY".	14.42
"2514".	55.83.	26.1.	"PISY".	14.66
"2515".	53.44.	28.88.	"PISY".	14.85
"2516".	51.57.	31.26.	"PISY".	14.98
"2517".	53.14.	26.11.	"PISY".	16.77
"2518".	53.46.	37.66.	"PISY".	7.86
"2519".	51.87.	36.99.	"PISY".	8.04
"2520".	52.12.	38.27.	"PISY".	8.2
"2521".	50.57.	38.84.	"PISY".	8.33
"2522".	54.	39.34.	"PISY".	8.44
"2523".	53.55.	33.85.	"PISY".	8.76
"2524".	54.46.	38.6.	"PISY".	9.17
"2525".	53.2.	38.61.	"PISY".	11.67
"2526".	51.49.	36.56.	"PISY".	11.82
"2527".	49.8.	35.08.	"PISY".	12.15
"2528".	55.89.	34.39.	"PISY".	13.16
"2529".	50.77.	34.02.	"PISY".	13.72
"2530".	54.18.	34.64.	"PISY".	13.95
"2531".	50.16.	33.86.	"PISY".	14.65
"2532".	55.9.	32.18.	"PISY".	14.86
"2533".	50.41.	37.76.	"PISY".	15.41
"2534".	54.17.	33.	"PISY".	15.84
"2535".	55.05.	43.85.	"PISY".	7.87
"2536".	55.19.	44.17.	"PISY".	7.87
"2537".	53.92.	41.74.	"PISY".	8.04
"2538".	50.69.	41.82.	"PISY".	8.19
"2539".	50.61.	43.99.	"PISY".	8.41
"2540".	49.09.	46.39.	"PISY".	8.49
"2541".	55.56.	41.84.	"PISY".	8.51
"2542".	51.51.	46.95.	"PISY".	10.08
"2543".	52.89.	45.2.	"PISY".	10.59
"2544".	48.45.	47.38.	"PISY".	10.68
"2545".	53.63.	47.07.	"PISY".	12.02
"2546".	54.05.	42.4.	"PISY".	12.33
"2547".	49.54.	40.54.	"PISY".	12.36
"2548".	55.06.	45.09.	"PISY".	12.72
"2549".	49.87.	47.82.	"PISY".	16.37
"2550".	53.44.	46.51.	"PISY".	17.16
"2551".	53.66.	50.21.	"PISY".	8.92
"2552".	48.68.	53.49.	"PISY".	9.28
"2553".	51.99.	55.63.	"PISY".	9.53
"2554".	50.82.	48.25.	"PISY".	9.67
"2555".	51.54.	54.47.	"PISY".	10.02
"2556".	53.85.	49.78.	"PISY".	10.84
"2557".	54.99.	55.99.	"PISY".	10.9
"2558".	53.89.	50.89.	"PISY".	11.67
"2559".	53.53.	53.92.	"PISY".	12.61
"2560".	53.04.	49.58.	"PISY".	13.41
"2561".	50.73.	48.94.	"PISY".	13.69
"2562".	50.22.	55.16.	"PISY".	13.73
"2563".	50.22.	52.33.	"PISY".	14.4
"2564".	55.42.	53.33.	"PISY".	14.65
"2565".	50.73.	53.84.	"PISY".	14.74
"2566".	54.98.	50.99.	"PISY".	15.45
"2567".	52.71.	49.22.	"PISY".	15.72
"2568".	55.58.	55.55.	"PISY".	16.54
"2569".	52.4.	52.74.	"PISY".	16.69
"2570".	52.69.	57.24.	"PISY".	9.16
"2571".	50.88.	63.78.	"PISY".	9.32
"2572".	54.74.	60.68.	"PISY".	9.35
"2573".	49.85.	58.11.	"PISY".	9.55
"2574".	52.12.	59.03.	"PISY".	9.92
"2575".	49.55.	56.48.	"PISY".	11.19
"2576".	55.87.	57.52.	"PISY".	11.49
"2577".	52.51.	58.14.	"PISY".	12.94
"2578".	52.92.	60.01.	"PISY".	13.06
"2579".	55.06.	57.45.	"PISY".	14.39
"2580".	48.38.	56.44.	"PISY".	15.15
"2581".	53.9.	61.24.	"PISY".	16.6
"2582".	54.04.	70.75.	"PISY".	8.77
"2583".	55.85.	67.21.	"PISY".	9.74
"2584".	54.65.	68.06.	"PISY".	10.53
"2585".	55.16.	70.26.	"PISY".	10.8
"2586".	51.47.	66.74.	"PISY".	10.87
"2587".	53.14.	66.21.	"PISY".	11.63
"2588".	49.75.	65.98.	"PISY".	12.54
"2589".	53.16.	70.56.	"PISY".	12.74
"2590".	50.58.	70.98.	"PISY".	12.94
"2591".	52.92.	64.21.	"PISY".	12.98
"2592".	52.58.	71.22.	"PISY".	13.05
"2593".	49.33.	70.	"PISY".	13.4
"2594".	49.16.	64.57.	"PISY".	14.72
"2595".	51.26.	65.05.	"PISY".	15.12
"2596".	52.69.	69.94.	"PISY".	15.66
"2597".	55.74.	70.	"PISY".	16.57
"2598".	48.01.	70.34.	"PISY".	17.46
"2599".	54.69.	73.41.	"PISY".	2.24
"2600".	52.2.	75.09.	"PISY".	8.31
"2601".	50.95.	73.15.	"PISY".	9.21
"2602".	53.02.	72.97.	"PISY".	9.86
"2603".	51.36.	79.22.	"PISY".	9.88
"2604".	48.29.	73.86.	"PISY".	10.2
